date,DDD_CAR,DDD_X,FF_AVG,FF_X,RH_AVG,RR,SS,TAVG,TN,TX
2010-01-01,W ,270.0,1.0,3.0,82.0,7.0,3.8,21.8,19.0,27.6
2010-01-02,W ,270.0,1.0,3.0,76.0,0.0,2.9,22.9,20.0,27.6
2010-01-03,W ,270.0,1.0,4.0,86.0,0.0,3.4,21.8,20.0,25.8
2010-01-04,W ,270.0,1.0,2.0,85.0,2.0,1.3,21.7,19.0,25.8
2010-01-05,W ,270.0,0.0,2.0,87.0,12.0,1.8,21.5,19.0,26.8
2010-01-06,SE,135.0,1.0,2.0,85.0,2.0,1.6,21.6,19.0,27.3
2010-01-07,W ,270.0,1.0,3.0,86.0,13.0,0.9,19.9,18.0,25.9
2010-01-08,W ,270.0,0.0,2.0,93.0,20.0,2.8,19.8,18.0,24.9
2010-01-09,W ,270.0,0.0,2.0,91.0,4.0,1.5,20.3,19.0,24.0
2010-01-10,W ,270.0,0.0,2.0,94.0,56.0,0.0,19.8,19.0,23.8
2010-01-11,W ,270.0,0.0,2.0,91.0,2.0,0.0,20.5,19.0,23.6
2010-01-12,NW,315.0,1.0,3.0,96.0,20.0,0.5,20.3,19.0,24.0
2010-01-13,W ,270.0,1.0,4.0,99.0,5.0,0.0,19.3,18.0,21.5
2010-01-14,NW,315.0,1.0,4.0,98.0,27.0,0.0,19.4,18.0,21.2
2010-01-15,NW,315.0,1.0,3.0,92.0,18.0,0.0,19.3,18.0,24.2
2010-01-16,E ,90.0,0.0,3.0,99.0,9.0,0.0,18.8,18.0,20.8
2010-01-17,NW,315.0,1.0,3.0,98.0,24.0,0.0,19.7,19.0,21.5
2010-01-18,NW,315.0,0.0,3.0,80.0,24.0,0.0,21.0,19.0,24.8
2010-01-19,NW,315.0,1.0,3.0,96.0,0.0,2.7,19.9,19.0,22.7
2010-01-20,W ,270.0,1.0,3.0,88.0,48.0,0.0,20.1,19.0,24.6
2010-01-21,W ,270.0,0.0,2.0,85.0,6.0,0.5,20.5,18.0,25.6
2010-01-22,NW,315.0,1.0,4.0,93.0,4.0,1.9,19.5,18.0,25.2
2010-01-23,SE,135.0,1.0,3.0,85.0,30.0,3.0,21.6,16.0,26.5
2010-01-24,W ,270.0,1.0,4.0,90.0,2.0,3.3,20.9,16.0,26.9
2010-01-25,SE,135.0,0.0,3.0,88.0,1.0,1.7,20.7,17.0,24.3
2010-01-26,W ,270.0,0.0,2.0,94.0,1.0,1.4,20.6,15.0,22.9
2010-01-27,W ,270.0,0.0,2.0,86.0,,0.2,21.0,18.0,26.8
2010-01-28,NW,315.0,1.0,3.0,90.0,3.0,3.5,20.4,18.0,24.0
2010-01-29,SE,135.0,0.0,2.0,89.0,26.0,2.3,21.0,19.0,26.1
2010-01-30,NW,315.0,1.0,4.0,92.0,23.0,0.0,21.1,19.0,26.2
2010-01-31,W ,270.0,0.0,3.0,92.0,28.0,0.0,21.2,19.0,24.4
2010-02-01,NW,315.0,0.0,2.0,87.0,0.0,0.1,21.5,20.0,26.9
2010-02-02,NW,315.0,1.0,4.0,88.0,4.0,0.5,20.8,19.0,25.6
2010-02-03,SE,135.0,0.0,3.0,90.0,40.0,0.3,21.4,19.0,26.8
2010-02-04,NW,315.0,0.0,3.0,92.0,5.0,2.9,21.2,20.0,24.0
2010-02-05,SE,135.0,0.0,2.0,93.0,7.0,1.7,20.8,19.0,26.8
2010-02-06,W ,270.0,0.0,2.0,91.0,14.0,1.4,21.2,19.0,25.5
2010-02-07,W ,270.0,0.0,1.0,86.0,2.0,2.1,21.8,19.0,26.2
2010-02-08,W ,270.0,0.0,3.0,89.0,10.0,4.2,21.6,19.0,24.8
2010-02-09,NW,315.0,1.0,4.0,90.0,1.0,0.9,21.0,19.0,25.7
2010-02-10,SE,135.0,1.0,4.0,87.0,44.0,2.7,21.7,19.0,25.2
2010-02-11,W ,270.0,0.0,2.0,90.0,33.0,3.5,21.2,18.0,26.5
2010-02-12,SE,135.0,2.0,5.0,89.0,4.0,2.2,20.8,19.0,26.6
2010-02-13,NW,315.0,1.0,3.0,91.0,115.0,3.7,20.9,19.0,24.6
2010-02-14,SE,135.0,0.0,3.0,96.0,2.0,0.6,20.4,19.0,25.0
2010-02-15,SE,135.0,2.0,5.0,87.0,46.0,0.9,21.4,19.0,25.8
2010-02-16,NW,315.0,0.0,2.0,90.0,5.0,2.1,21.4,20.0,26.2
2010-02-17,NW,315.0,1.0,4.0,91.0,34.0,1.9,21.4,19.0,26.4
2010-02-18,NW,315.0,0.0,3.0,97.0,46.0,1.6,20.5,19.0,22.9
2010-02-19,NW,315.0,1.0,3.0,94.0,30.0,0.9,20.7,20.0,23.7
2010-02-20,W ,270.0,0.0,3.0,84.0,30.0,0.0,21.6,18.0,26.4
2010-02-21,E ,90.0,0.0,3.0,88.0,8.0,1.8,21.5,18.0,26.1
2010-02-22,NW,315.0,2.0,5.0,90.0,,3.7,21.3,18.0,25.8
2010-02-23,W ,270.0,0.0,2.0,85.0,13.0,2.1,22.2,18.0,27.4
2010-02-24,SE,135.0,0.0,3.0,92.0,20.0,3.7,21.2,20.0,26.1
2010-02-25,NW,315.0,1.0,3.0,88.0,10.0,1.5,21.2,19.0,25.1
2010-02-26,W ,270.0,1.0,3.0,81.0,,2.7,22.2,19.0,27.0
2010-02-27,SE,135.0,1.0,3.0,85.0,0.0,4.1,22.1,19.0,27.1
2010-02-28,SE,135.0,0.0,3.0,88.0,,2.3,22.1,19.0,25.8
2010-03-01,SE,135.0,0.0,2.0,86.0,2.0,1.7,21.5,19.0,27.2
2010-03-02,SE,135.0,0.0,2.0,80.0,11.0,1.4,21.5,19.0,27.8
2010-03-03,NW,315.0,0.0,2.0,84.0,50.0,3.8,22.0,19.0,26.9
2010-03-04,SW,225.0,1.0,3.0,90.0,23.0,3.7,22.0,19.0,27.2
2010-03-05,W ,270.0,1.0,3.0,92.0,10.0,2.4,21.5,19.0,25.3
2010-03-06,NW,315.0,1.0,3.0,84.0,0.0,1.0,22.7,20.0,26.6
2010-03-07,W ,270.0,1.0,3.0,86.0,3.0,3.4,22.1,20.0,27.2
2010-03-08,NW,315.0,1.0,4.0,88.0,0.0,4.2,22.5,20.0,25.6
2010-03-09,NW,315.0,1.0,3.0,90.0,10.0,1.5,21.7,19.0,25.2
2010-03-10,W ,270.0,0.0,2.0,94.0,0.0,2.3,21.1,20.0,25.6
2010-03-11,W ,270.0,0.0,2.0,97.0,30.0,0.5,20.0,19.0,24.7
2010-03-12,NW,315.0,1.0,3.0,91.0,60.0,0.1,21.3,19.0,23.6
2010-03-13,SE,135.0,1.0,4.0,86.0,,0.3,21.3,19.0,25.2
2010-03-14,W ,270.0,0.0,2.0,83.0,0.0,2.6,22.1,19.0,27.6
2010-03-15,E ,90.0,1.0,3.0,88.0,3.0,4.1,20.6,19.0,25.4
2010-03-16,SW,225.0,1.0,3.0,91.0,58.0,2.5,20.9,19.0,25.6
2010-03-17,NW,315.0,1.0,3.0,96.0,,0.8,19.8,19.0,25.1
2010-03-18,SE,135.0,1.0,3.0,88.0,79.0,0.7,20.9,19.0,24.8
2010-03-19,NW,315.0,0.0,2.0,86.0,19.0,2.1,21.3,19.0,25.6
2010-03-20,W ,270.0,0.0,2.0,91.0,15.0,2.3,21.3,19.0,26.0
2010-03-21,W ,270.0,0.0,2.0,92.0,6.0,2.5,21.3,19.0,26.3
2010-03-22,S ,180.0,0.0,2.0,82.0,10.0,1.5,21.6,19.0,27.2
2010-03-23,W ,270.0,1.0,3.0,88.0,1.0,2.8,21.3,19.0,25.5
2010-03-24,W ,270.0,0.0,2.0,90.0,18.0,2.5,21.3,19.0,27.0
2010-03-25,NW,315.0,1.0,4.0,87.0,5.0,2.6,22.5,19.0,27.3
2010-03-26,NW,315.0,1.0,4.0,83.0,18.0,6.1,22.8,19.0,27.3
2010-03-27,SE,135.0,1.0,3.0,81.0,0.0,1.9,22.7,20.0,27.6
2010-03-28,W ,270.0,0.0,3.0,90.0,8.0,4.1,20.8,19.0,26.0
2010-03-29,SE,135.0,2.0,6.0,82.0,3.0,0.4,21.1,19.0,27.0
2010-03-30,NW,315.0,1.0,5.0,90.0,3.0,2.7,20.5,19.0,25.8
2010-03-31,SE,135.0,0.0,2.0,84.0,30.0,0.0,21.9,20.0,26.4
2010-04-01,SE,135.0,1.0,3.0,77.0,1.0,0.4,22.9,19.0,27.8
2010-04-02,W ,270.0,1.0,3.0,76.0,0.0,6.6,23.2,19.0,28.6
2010-04-03,E ,90.0,2.0,4.0,86.0,3.0,5.9,21.7,19.0,26.0
2010-04-04,NW,315.0,1.0,3.0,78.0,1.0,1.5,23.0,20.0,27.8
2010-04-05,SE,135.0,2.0,5.0,81.0,5.0,4.5,22.2,19.0,27.5
2010-04-06,W ,270.0,1.0,3.0,68.0,1.0,4.7,22.7,19.0,28.3
2010-04-07,W ,270.0,1.0,3.0,79.0,,6.1,23.0,20.0,27.9
2010-04-08,W ,270.0,1.0,3.0,82.0,0.0,3.4,22.6,21.0,27.8
2010-04-09,SE,135.0,1.0,4.0,79.0,0.0,3.3,22.7,19.0,27.8
2010-04-10,NW,315.0,1.0,3.0,78.0,0.0,3.5,22.4,20.0,28.1
2010-04-11,W ,270.0,2.0,5.0,88.0,8.0,4.3,21.0,19.0,25.9
2010-04-12,W ,270.0,1.0,2.0,75.0,18.0,1.1,22.5,19.0,28.6
2010-04-13,SE,135.0,2.0,3.0,75.0,6.0,5.5,22.3,19.0,27.9
2010-04-14,W ,270.0,1.0,3.0,89.0,1.0,4.9,21.9,19.0,27.0
2010-04-15,W ,270.0,1.0,3.0,86.0,10.0,2.4,22.9,20.0,28.3
2010-04-16,W ,270.0,2.0,5.0,80.0,,3.4,21.2,20.0,28.5
2010-04-17,SE,135.0,2.0,3.0,82.0,3.0,1.6,22.6,20.0,28.5
2010-04-18,SE,135.0,1.0,2.0,73.0,0.0,2.9,21.8,19.0,27.0
2010-04-19,W ,270.0,1.0,3.0,76.0,0.0,3.6,22.4,19.0,27.0
2010-04-20,W ,270.0,1.0,2.0,72.0,0.0,5.8,22.7,19.0,28.0
2010-04-21,SE,135.0,1.0,3.0,80.0,3.0,4.1,22.5,21.0,27.8
2010-04-22,SE,135.0,2.0,5.0,87.0,13.0,4.5,23.0,20.0,27.4
2010-04-23,SE,135.0,1.0,3.0,82.0,0.0,2.9,23.1,20.0,28.0
2010-04-24,W ,270.0,1.0,3.0,84.0,1.0,2.5,22.8,20.0,27.6
2010-04-25,SE,135.0,1.0,3.0,73.0,0.0,2.7,23.2,19.0,27.6
2010-04-26,W ,270.0,1.0,2.0,78.0,0.0,4.3,23.1,19.0,28.4
2010-04-27,W ,270.0,2.0,3.0,78.0,0.0,5.4,22.6,19.0,27.2
2010-04-28,W ,270.0,2.0,3.0,84.0,0.0,3.3,22.6,19.0,26.0
2010-04-29,NW,315.0,2.0,3.0,84.0,8.0,2.7,22.2,19.0,27.2
2010-04-30,SE,135.0,2.0,4.0,86.0,2.0,2.9,22.2,19.0,28.0
2010-05-01,W ,270.0,1.0,3.0,81.0,0.0,4.8,23.5,19.0,29.2
2010-05-02,SE,135.0,2.0,5.0,81.0,0.0,3.6,23.1,20.0,28.4
2010-05-03,W ,270.0,2.0,4.0,81.0,0.0,3.1,22.9,20.0,27.6
2010-05-04,SE,135.0,2.0,5.0,80.0,,3.9,23.5,20.0,29.2
2010-05-05,NE,45.0,1.0,4.0,80.0,0.0,3.5,23.2,20.0,28.0
2010-05-06,E ,90.0,2.0,10.0,67.0,0.0,1.1,24.4,21.0,29.0
2010-05-07,NE,45.0,2.0,5.0,84.0,0.0,5.3,23.1,20.0,27.6
2010-05-08,W ,270.0,0.0,2.0,92.0,13.0,3.4,21.3,21.0,25.7
2010-05-09,SE,135.0,0.0,2.0,85.0,30.0,1.1,22.1,20.0,27.6
2010-05-10,NW,315.0,0.0,3.0,91.0,19.0,2.6,21.7,19.0,27.0
